label,id,date,user_id,text,pic_url,video_url,comment_num,repost_num,like_num,analysis
fake,460b078edd44280dc2535535add5d2fa,2020-02-06 10:48,8b1bc48b06fb7ad014182cc91be44156,这是发生在重症隔离病房里，一个小朋友对医生说的话我不想让妈妈哭😭 不是晚一点，是你不会si的，加油，医护人员是不会让你si的，坚强，加油🙏#人生第一次我们这样过年##疫情结束后你最想干什么# L情感依梦的微博视频 ​​​​,[],"http://f.video.weibocdn.com/000lGgVrlx07AJGBulao010412000Utx0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&media_id=4468921236127780&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599361352&ssig=Fos%2FqCiYxy&KID=unistore,video&480",4,2,30,经查，该视频所称“武汉重症隔离病房里，一个小朋友对医生说的话”，实为电影《倾城之泪》中的片段，出现在影片第30分30秒，影片地址：http://t.cn/A6Pm2ILJ，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（）第19条，对被举报人处理如下：禁言30天。上述处理在公布后60分钟内生效。
fake,2ea0c40dbb900959069a62609f10909c,2020-07-03 10:51,40e2e17e668a3e6b01506f7fedd64bd6,#北京健康宝崩了#，没了健康宝，什么也做不了，#北京# 上班也迟到了，希望能尽快修好，加油健康宝！L北京人北京事儿的微博视频 ​​​​,[],"http://f.video.weibocdn.com/003exorvgx07ExKn4n0I0104120045XE0E010.mp4?label=mp4_hd&template=360x636.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&media_id=4522554111754252&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599012445&ssig=9Wj9M5DbW9&KID=unistore,video&480",0,0,0,经查，该微博发视频称“健康宝崩了进不了地铁”不实，北京地铁官方回应：北京地铁目前没有采取进站需查询北京健康宝这项措施，而是在进站口对乘客严格测温，并要求乘客必须佩戴口罩乘车，详情：https://weibo.com/2590508324/J9tvhhrGc。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第24条，对被投诉人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。
fake,d7814922985f7b337347ffc0ff0eae56,2020-02-22 23:00,b75f00f6210a0e7543f623fbee435f37,【疫情当前，大意不得：全国已有12起复工后聚集性疫情发生】近期全国陆续复工，据不完全统计，复工后发生的聚集性疫情12起共15人确诊，18人传染，514人以上被隔离 。包含内蒙古赤峰一发电厂、山西一发电厂、北京当当网 2重庆 ​​​​,[],,3,2,4,经查，该微博称“内蒙古赤峰一发电厂复工后发生的聚集性疫情”不实，@赤峰市公安局官方微博 已辟谣：经核实，该公司属于电力企业，一直处于生产状态，不存在复产复工问题。患者可能系与其儿子接触感染，目前该企业也无其他人员感染，详情：https://weibo.com/2406886261/Iwa0cFr3D，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。
fake,e7ba5f3eab27e4d11acf903e1f7229c9,2020-02-19 11:24,ab592925d8db644da43c77b9ce5f8885,学校开学时间：高三，初三，3月2日开学，高一，高二，初一，初二，3月9日开学，小学4一6年级，3月16日开学，幼儿园，小学1一3年级，大学，职校继续延时，直至疫情消除。市政府会议精神，3月16日居民出行正常化，17日公交正常化，18日逐步企业生产和市场经营正常化，22日重点场所正常化，25日机场、高速、动车、国道正常化。目前为止待在家里！等待通知！————————————————————以上是真的嘛??第一次无比怀念在学校的日子，我留下了不学无术的泪水。,[],,0,0,0,经查，该微博称“3月16日居民出行正常化”不实，@中国互联网联合辟谣平台 已辟谣：类似信息已在武汉、无锡、温州、镇江、保定等多个地方传播，且该类信息已通过官方渠道多次辟谣，详情：https://weibo.com/6525943125/IvdThB8Vb，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。
fake,91bf7a5e1bd92f46aecefb4668799be4,2020-03-19 21:10,7f19dfabb4ab6874dba723a22be6c0c5,美国的10艘医疗军舰已经开进纽约港，每艘船上有1000张病床，上面拥有所有的医疗抢救设施，每艘船相当于一个雷神山医院。而且美国还有很强的建立field hospital 能力，一两天就可以建造一个。有吃有喝有医疗，没有过不去的关。 ​​​​,[],,16,2,9,经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。
fake,29e45e19a92417306928027381b53c06,2020-06-18 11:36,b6af5750695bd206ccb34408139c15bd,#北京疫情扩散风险很高#，北京疫情严峻，84岁的钟南山院士再次出征北京， 他就是最耀眼的一颗星，为钟老点赞！#北京要求最短时间内找到所有密接者# L蓝烟啼枫的微博视频 ​​​​,[],"http://f.video.weibocdn.com/xuZz09X7lx07E9SjHQfC010412004cqz0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&media_id=4517130717298704&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599020590&ssig=O7LNodV3U9&KID=unistore,video&480",7,126,5070,经查，该微博配发视频称“84岁钟南山院士再次出征北京”不实，该内容已被@北京日报 辟谣：钟院士目前仍在广州工作。详情：https://weibo.com/1893892941/J7dTA8Eh3 。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第24条，对被投诉人处理如下：扣除信用积分5分，禁言禁被关注7天。上述处理在公布后60分钟内生效。
fake,b6a85cbc11f0d5c296dd5343360dde58,2020-02-03 15:57,3bd7a325abcc81c695e0917736b5003c,这是武汉一个小区居民用高浓度酒精室内消毒，引发火灾！#市民逃生时还不忘戴上口罩# 大家注意，如果家里没有感染过的病人，就无需酒精消毒[大哭]室内消毒净化，我用甲立方病毒狙击手[强][强][强] L姚春华-空气管家-靶向除甲醛的微博视频 ​​​​,[],"http://f.video.weibocdn.com/003WEnd9gx07AFfapAdi0104120028cU0E010.mp4?label=mp4_hd&template=640x304.25.0&trans_finger=62b30a3f061b162e421008955c73f536&media_id=4467911893647368&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=h&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599363543&ssig=3j510Gov5p&KID=unistore,video&480",17,0,36,经查，此微博称“武汉一个小区居民用高浓度酒精室内消毒，引发火灾”不实，@武汉消防 已辟谣。详情：https://weibo.com/3217343880/IsuWzsBto，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。
fake,1b302708a92c0fce626cfe869ff8e37f,2020-02-03 09:49,0cda8875fb2a70e4625eb946fb2d8d40,特大利好：  美国公共安全卫生部门经特朗普特批，同意将吉利德公司的新冠肺炎抑制药瑞德西韦药物专利豁免，向中国紧急公开药物分子结构至4月27日。也就是同意让中国不经美国专利许可直接仿造此药用于紧急治疗命悬一线的患者！@科罗廖夫 你不知道吗？天天制造阴谋论，rz,"['https://wx3.sinaimg.cn/orj360/53ae0b70ly1gbix8lcdkwj20ku112wer.jpg', 'https://wx4.sinaimg.cn/orj360/53ae0b70ly1gbix8m2p1bj20u01qcqg7.jpg']",,6,1,6,经查，此微博称“国公共安全卫生部门经特朗普特批，同意将该药物专利豁免，向中国紧急公开药物分子结构至4月27日。”不实，据@环球时报 记者发现这事并不存在。详情：https://weibo.com/1974576991/IsuVnAjmV，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。
fake,58b3220bbcca2d4b98b0437b0deadd91,2020-04-06 21:35,32119c7b2b07e3e99c47ef5461ac8a08,我在置顶问答里预测的第二波爆发地:  大湾区，#广州三元里#成了第一个爆点😱 广州三元里附近的瑶台村，封闭14天，同时对重点人群进行核酸检测。 莫慌，已经有了防控经验，相信政府会处理的很好 ​​​​,"['https://wx3.sinaimg.cn/orj360/005Dmppzgy1gdkdfqullmj30u0140n2u.jpg', 'https://wx3.sinaimg.cn/orj360/005Dmppzgy1gdkeg981dij30u01hc43b.jpg', 'https://wx3.sinaimg.cn/orj360/005Dmppzgy1gdkefpngiqj30ku112adz.jpg', 'https://wx3.sinaimg.cn/orj360/005Dmppzgy1gdkefovwbxj30u01t045u.jpg']",,66,11,123,经查，该微博称“广州三元里附近的瑶台村，封闭14天”不实，@广州公安 已通报：4月6日，越秀警方依法查处在微信群发布“广州瑶台封村”“建方舱医院”等不实信息的网民宋某，详情：https://weibo.com/1722022490/ICd8Khfgj，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。
fake,7cfe610e01dafc496143664a1a8cf87d,2020-05-10 06:31,ab69b3855f5badba9681fa54f62f4e55,一位妈妈跪地求对方家人原谅，但是对方家人却拒绝在民事和解书上签字，并且还说：像他这样的人必须要进去！杨女士怀着7个月的身孕，和婆婆一起刚走出单元门口下台阶的时候，突然被一个孩子推倒在地，杨女士当时就滚下了台阶，感觉肚子非常疼。婆婆走上前去抓住了孩子，正准备询问孩子家长的时候，孩子的妈妈从后面出来了，看见孩子被婆婆抓住，马上过来抢孩子，不分青红皂白就把婆婆推开。婆婆见家长来了，马上跟孩子妈妈说明了情况，谁知道孩子妈妈看到倒地的杨女士以后，脸色就变了，直接说：“不是我家孩子弄的。”说完拉着孩子直接跑了。婆婆想追上去，但是又想起倒地的杨女士，只好守着杨女士，打了急救电话和报警电话，同时给自己儿子打电话让他赶紧回来。没过多久，民警找到了涉事的孩子和孩子妈妈，当时妈妈还极力抵赖，后来在调取监控的情况下，孩子妈妈也哑口无言了，说可以赔偿100000元给对方。杨女士送到医院以后，胎盘出血，有先兆性流产，非常的危险，短短一段时间的急救费用就已经花了几万块了。后来经过救治，还是没有保住胎儿，杨女士也大出血，失血性休克和重度感染，情况也十分危急。杨女士一家通过了解得知对方孩子在读初三，已经年满14周岁了，准备做伤情鉴定，要让他负刑事责任。推人的孩子妈妈知道这个情况以后，又提出赔偿500000元，希望可以和解，然后多次找到家门口跪地求杨女士家人原谅。就这个时候，还在为孩子解释：“孩子还小，不懂事，他只是有一点点坏，并不是恶人。而且马上要上高中了，能不能原谅他！”可杨女士的家人并不想要钱，只想给杨女士和肚里的胎儿一个说法，还说：“这样的孩子，不把他送进去，真是对不起肚里的宝宝！再说谁知道他还会不会去祸害其他人呢！”（人民故事）,[],,185,103,758,经查，该微博配图称 “推人的孩子妈妈跪地求对方家人原谅，但是对方家人却拒绝在民事和解书上签字”不实，该图片实为高考志愿篡改案宣判现场，学生母亲向受害人家属下跪，详情：http://news.ifeng.com/c/7fbZ34KjEje#p=1，被举报人言论属于构成“发布不实信息”。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，账号禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。
